Sucha karma dla szczeniąt, dorosłych psów i starszych psów;99.5;30
Mokra karma w puszkach ;67.8;25
Mokra karma w torebkach;55;21
Sucha karma dla kociąt, dorosłych kotów i starszych kotów;87.4;32
Legowiska dla psa;100;40
Mata ochronna do samochodu;87;37
Mata chłodząca;50;18
Smycz linkowa;27;34
Smycz taśmowa;30;39
Obroża odblaskowa dla psa;18;15
Pleciona obroża dla psa, zapobiegająca ciągnięciu;21;27
Szelki dla psa z odblaskowymi paskami;26.80;25
Szelki dla szczeniąt ze smyczą;49.5;16
Szelki turystyczne;42.7;13
Szelki z 4 stopniami regulacji;21.30;19
Kaganiec dla psa;47.5;12
Transporter dla kotów;59.8;37
Piłka tenisowa dla psa z piszczałką;21;56
Kolorowa lina do zabawy dla psa;8;47
Miska ceramiczna;32;23
Miska ze stali nierdzewnej;35;17
Miska z tworzywa sztucznego;20;26
Poidełko automatyczne utrzymujące poziom wody;100;13
Wędką z piórkami dla kota;23;41
Tunel dla kotów;97;24
Legowisko z poduszkami;124;27
Szampon i odżywka;30.50;38
Szczotka do pielęgnacji;13.70;31
Obcinacz do paznokci;8;25
Plaszczyk przeciwdeszczowy dla psa;62.3;23
Pikowany płaszczyk dla psa;35;17
Żel do zębów;22.30;12
Szczoteczka do zębów;19.50;18
Żwirek dla kotów;34.8;29
Kuweta dla kotów;49.9;23
Wieża do drapania;68.3;14
Futrzana mysz na baterie;41.2;31
Zabawka z przekąskami;35.7;29
